name,price,url
"iPhone XR Apple 128GB Preto 6,1” 12MP iOS",3899.0,https://www.magazineluiza.com.br/iphone-xr-apple-128gb-preto-61-12mp-ios/p/155608100/te/ipxr/
Smartphone Samsung Galaxy A11 - 64 GB,1139.05,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a11-64-gb/p/egggje5chg/te/ga11/
"iPhone 12 Apple 128GB Branco Tela 6,1”",6881.07,https://www.magazineluiza.com.br/iphone-12-apple-128gb-branco-tela-61-cam-dupla-12mp-ios/p/155598200/te/ip12/
Smartphone Samsung Galaxy A31 128GB Azul 4G,1439.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a31-128gb-azul-4g-octa-core-4gb-ram-tela-64-cam-quadrupla-selfie/p/155581600/te/ga31/
Smartphone LG K52 64GB Verde 4G Octa-Core 3GB RAM,1088.1,https://www.magazineluiza.com.br/smartphone-lg-k52-64gb-verde-4g-octa-core-3gb-ram-tela-659-cam-quadrupla-selfie-8mp-dual-chip/p/155593100/te/telg/
"iPhone 11 Apple 256GB Preto 6,1” 12MP iOS",5904.57,https://www.magazineluiza.com.br/iphone-11-apple-256gb-preto-61-12mp-ios/p/155611700/te/ip11/
Smartphone Motorola Moto E6S 32GB Cinza Titanium,809.1,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-32gb-cinza-titanium-4g-octa-core-2gb-ram-61-cam-dupla-selfie-5mp/p/155586700/te/me6s/
Smartphone Motorola Moto G8 64GB Azul Capri 4G,1208.07,https://www.magazineluiza.com.br/smartphone-motorola-moto-g8-64gb-azul-capri-4g-4gb-ram-tela-64-cam-tripla-cam-selfie-8mp/p/155575000/te/mtg8/
Smartphone Motorola One Fusion 64GB Azul Safira,1394.07,https://www.magazineluiza.com.br/smartphone-motorola-one-fusion-64gb-azul-safira-4g-4gb-ram-tela-65-cam-quadrupla-selfie-8mp/p/155585900/te/mtof/
Smartphone Samsung Galaxy A21s 64GB Preto 4G,1251.0,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a21s-64gb-preto-4g-4gb-ram-65-cam-quadrupla-selfie-13mp/p/155584000/te/galx/
Smartphone Samsung Galaxy M31 128GB Azul 4G,1529.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-m31-128gb-azul-4g-6gb-ram-tela-64-cam-quadrupla-selfie-32mp/p/226424700/te/gm31/
"iPhone XR Apple 128GB Branco 6,1” 12MP iOS",3899.0,https://www.magazineluiza.com.br/iphone-xr-apple-128gb-branco-61-12mp-ios/p/155608200/te/ipxr/
Smartphone LG K52 64GB Vermelho 4G Octa-Core,1170.0,https://www.magazineluiza.com.br/smartphone-lg-k52-64gb-vermelho-4g-octa-core-3gb-ram-tela-659-cam-quadrupla-selfie-8mp/p/155593200/te/telg/
Smartphone Samsung Galaxy A10s 32GB Azul,899.99,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a10s-32gb-azul-4g-2gb-ram-62-cam-dupla-selfie-8mp/p/155568400/te/s10s/
Smartphone Samsung Galaxy S20 FE 256GB Cloud Navy,2899.0,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s20-fe-256gb-cloud-navy-8gb-ram-tela-65-cam-tripla-selfie-32mp/p/227421700/te/gs2f/
"Smartphone Samsung Galaxy A10s 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 2G Câmera Dupla Traseira 13MP + 2MP - Azul",899.0,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a10s-32gb-dual-chip-android-9-0-tela-6-2-octa-core-2g-camera-dupla-traseira-13mp-2mp-azul/p/jh57873f69/te/s10s/
"Smartphone Motorola Moto E6S Tela 6,1"" - Helio P22 Octa-Core - Câm. Dupla 13 MP",899.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-e6s-tela-61-helio-p22-octa-core-cam-dupla-13-mp/p/af1k8796h3/te/me6s/
